pk,user_fk,status,purchase_amount,tax_amount,total_amount,created_at,updated_at
8566,10408,complete,1338.88,83.68,1422.56,2021-07-14 0:25:59,2021-07-21 05:48:45 UTC
8567,7153,pending,1433.33,89.58,1522.91,2021-01-03 20:05:37,2021-01-16 09:22:07 UTC
8568,6323,complete,1087.35,67.96,1155.31,2021-06-19 8:24:20,2021-06-30 19:35:37 UTC
8569,12112,complete,624.56,39.04,663.60,2021-07-18 23:07:00,2021-07-26 10:17:26 UTC
8570,12957,complete,757.20,47.33,804.53,2021-05-18 16:19:13,2021-05-31 17:45:00 UTC
8571,172,complete,842.25,52.64,894.89,2021-07-13 14:10:25,2021-07-19 07:24:39 UTC
8572,10312,pending,850.88,53.18,904.06,2022-02-17 0:10:16,2022-02-25 21:38:05 UTC
8573,10143,complete,1037.82,64.86,1102.68,2021-05-20 3:24:00,2021-06-03 04:55:30 UTC
8576,7360,complete,627.91,39.24,667.15,2021-10-30 19:49:25,2021-11-12 09:56:05 UTC
8577,7992,complete,1448.90,90.56,1539.46,2021-12-26 23:45:25,2022-01-07 00:08:48 UTC
8578,6576,complete,368.43,23.03,391.46,2021-08-24 12:18:22,2021-09-07 04:24:19 UTC
8579,10451,complete,382.32,23.90,406.22,2022-01-12 11:00:22,2022-01-17 10:38:43 UTC
8580,10963,complete,233.24,14.58,247.82,2021-02-02 13:35:21,2021-02-14 01:09:36 UTC
8581,7061,complete,222.28,13.89,236.17,2021-04-16 9:06:26,2021-04-19 01:51:19 UTC
8582,3862,complete,2042.88,127.68,2170.56,2022-03-15 21:20:35,2022-03-21 21:41:03 UTC
8583,959,complete,2190.20,136.89,2327.09,2021-10-12 11:01:15,2021-10-15 14:10:25 UTC
8584,5263,complete,591.60,36.98,628.58,2021-04-02 14:35:08,2021-04-13 11:48:58 UTC
8585,10251,complete,752.32,47.02,799.34,2021-05-02 6:37:56,2021-05-12 13:35:55 UTC
8586,13069,complete,1610.03,100.63,1710.66,2021-05-02 7:16:37,2021-05-10 10:58:33 UTC
8587,9507,complete,580.32,36.27,616.59,2021-04-13 21:43:29,2021-04-24 10:38:21 UTC
8588,2056,complete,32.79,2.05,34.84,2021-10-28 16:17:47,2021-11-02 01:07:27 UTC
8589,8721,cancelled,594.88,37.18,632.06,2021-03-24 22:08:17,2021-03-31 13:16:00 UTC
8590,4057,complete,786.16,49.14,835.30,2022-01-22 12:00:02,2022-01-24 21:52:43 UTC
8591,7597,complete,328.72,20.55,349.27,2021-02-06 17:03:54,2021-02-17 03:42:13 UTC
8592,5880,complete,233.59,14.60,248.19,2021-10-21 11:53:04,2021-10-30 11:13:24 UTC
8593,840,complete,141.90,8.87,150.77,2021-11-25 21:19:48,2021-11-28 22:42:44 UTC
8594,4253,complete,103.35,6.46,109.81,2021-12-09 15:33:25,2021-12-15 01:52:20 UTC
8595,12350,complete,1131.80,70.74,1202.54,2021-07-24 2:45:07,2021-07-31 22:20:35 UTC
8596,7208,complete,2047.68,127.98,2175.66,2021-06-02 3:43:57,2021-06-06 23:33:26 UTC
8597,2326,complete,1788.80,111.80,1900.60,2021-07-21 2:02:37,2021-08-01 14:03:43 UTC
8598,124,complete,2778.41,173.65,2952.06,2021-12-20 16:43:56,2022-01-01 04:24:29 UTC
8599,1930,complete,1741.11,108.82,1849.93,2021-12-25 11:22:24,2022-01-06 15:01:28 UTC
8600,12620,complete,301.92,18.87,320.79,2021-07-23 2:30:41,2021-07-25 14:44:41 UTC
8601,13046,complete,909.33,56.83,966.16,2021-02-02 0:57:51,2021-02-15 14:04:36 UTC
8602,3286,pending,1672.02,104.50,1776.52,2021-11-12 8:59:32,2021-11-20 02:53:08 UTC
8603,11068,complete,1646.76,102.92,1749.68,2021-08-10 15:24:47,2021-08-13 19:50:48 UTC
8604,6540,complete,598.72,37.42,636.14,2022-01-10 7:08:59,2022-01-21 23:14:23 UTC
8605,11686,complete,2936.63,183.54,3120.17,2021-04-01 10:18:56,2021-04-03 18:14:41 UTC
8606,10141,complete,357.14,22.32,379.46,2021-03-01 21:12:00,2021-03-10 16:44:12 UTC
8607,12176,complete,730.33,45.65,775.98,2021-12-03 19:30:46,2021-12-14 07:21:03 UTC
8608,7119,complete,471.59,29.47,501.06,2022-03-08 13:46:17,2022-03-15 05:48:13 UTC
8609,103,complete,1080.31,67.52,1147.83,2021-01-12 14:37:08,2021-01-16 01:52:00 UTC
8610,110,complete,1789.36,111.84,1901.20,2021-04-24 7:55:23,2021-05-04 04:56:50 UTC
8611,8207,complete,386.88,24.18,411.06,2021-01-11 16:43:52,2021-01-19 14:50:58 UTC
8612,3299,complete,442.80,27.68,470.48,2021-04-25 16:39:29,2021-05-02 09:28:32 UTC
8613,94,complete,996.32,62.27,1058.59,2021-02-10 17:27:32,2021-02-15 12:30:42 UTC
8614,9329,complete,2724.42,170.28,2894.70,2021-07-16 12:16:12,2021-07-20 07:46:24 UTC
8615,8774,complete,269.84,16.87,286.71,2021-04-10 20:03:47,2021-04-13 01:52:37 UTC
8616,3350,complete,498.42,31.15,529.57,2021-05-26 5:01:39,2021-05-31 19:45:49 UTC
8617,2224,complete,2196.16,137.26,2333.42,2021-06-17 19:57:56,2021-06-28 00:58:46 UTC
8618,10947,complete,75.93,4.75,80.68,2021-12-09 8:22:17,2021-12-16 04:29:41 UTC
8619,7928,complete,1379.48,86.22,1465.70,2021-02-24 9:42:21,2021-03-02 00:23:45 UTC
8620,4030,complete,577.27,36.08,613.35,2021-04-06 11:59:03,2021-04-21 04:34:56 UTC
8621,11838,complete,1570.29,98.14,1668.43,2021-11-26 15:56:56,2021-12-09 00:04:35 UTC
8622,12231,complete,730.84,45.68,776.52,2021-11-14 21:32:55,2021-11-24 04:21:58 UTC
8623,193,complete,599.09,37.44,636.53,2022-02-10 22:54:24,2022-02-20 02:49:33 UTC
8624,2121,complete,2098.95,131.18,2230.13,2022-01-26 13:42:22,2022-02-08 17:19:26 UTC
8625,2079,complete,926.16,57.89,984.05,2021-03-03 13:05:18,2021-03-17 12:32:28 UTC
8626,5985,complete,1111.37,69.46,1180.83,2021-09-04 12:43:58,2021-09-12 18:08:08 UTC
8627,8111,complete,1676.42,104.78,1781.20,2021-03-03 15:14:40,2021-03-10 05:20:04 UTC
8628,12528,cancelled,315.02,19.69,334.71,2021-01-19 10:24:40,2021-01-24 14:43:03 UTC
8629,3774,complete,1798.87,112.43,1911.30,2021-10-19 3:33:49,2021-10-26 20:24:26 UTC
8631,11984,complete,425.31,26.58,451.89,2021-01-02 0:39:21,2021-01-05 13:05:14 UTC
8632,12155,pending,1218.32,76.15,1294.47,2022-01-29 6:42:53,2022-02-08 13:20:35 UTC
8633,11358,pending,849.35,53.08,902.43,2021-03-14 22:34:53,2021-03-18 00:35:00 UTC
8634,3618,complete,2037.72,127.36,2165.08,2021-03-29 8:31:44,2021-04-12 08:36:22 UTC
8635,7812,complete,308.37,19.27,327.64,2021-02-10 16:36:16,2021-02-16 00:10:55 UTC
8636,499,complete,85.65,5.35,91.00,2022-01-10 0:21:04,2022-01-16 14:29:05 UTC
8637,3801,complete,2372.88,148.31,2521.19,2021-10-09 11:58:51,2021-10-13 21:45:24 UTC
8638,5266,complete,1713.83,107.11,1820.94,2021-10-09 7:11:19,2021-10-19 21:51:56 UTC
8639,76,complete,1993.83,124.61,2118.44,2021-05-28 11:18:28,2021-05-31 08:00:30 UTC
8640,3053,complete,813.04,50.82,863.86,2021-08-21 11:22:43,2021-08-31 11:15:02 UTC
8641,5999,complete,1943.14,121.45,2064.59,2021-07-20 23:28:40,2021-08-01 06:59:09 UTC
8642,2961,complete,1833.15,114.57,1947.72,2021-12-04 16:37:23,2021-12-15 05:39:34 UTC
8643,13350,complete,50.30,3.14,53.44,2021-09-04 10:46:43,2021-09-11 06:13:14 UTC
8645,13425,complete,1235.21,77.20,1312.41,2021-02-03 4:15:25,2021-02-15 06:02:45 UTC
8646,8404,complete,695.18,43.45,738.63,2021-10-29 10:11:15,2021-11-08 04:37:00 UTC
8647,2248,complete,1196.83,74.80,1271.63,2021-08-26 21:20:13,2021-09-04 15:26:32 UTC
8648,8667,complete,3056.13,191.01,3247.14,2021-09-26 18:09:52,2021-09-30 14:44:58 UTC
8649,5845,complete,1232.16,77.01,1309.17,2021-07-05 22:27:32,2021-07-19 02:27:25 UTC
8650,11365,complete,941.96,58.87,1000.83,2021-06-28 23:05:40,2021-07-08 18:36:35 UTC
8651,6675,complete,831.96,52.00,883.96,2022-02-22 22:36:48,2022-02-25 04:03:43 UTC
8652,533,complete,580.88,36.31,617.19,2021-11-22 17:08:33,2021-12-06 11:20:54 UTC
8653,6822,complete,543.15,33.95,577.10,2021-08-19 15:22:47,2021-08-23 16:14:26 UTC
8654,8776,complete,1021.44,63.84,1085.28,2021-05-11 18:32:47,2021-05-18 08:18:21 UTC
8655,4045,complete,1116.56,69.79,1186.35,2021-07-21 20:42:02,2021-07-27 20:37:10 UTC
8656,11510,complete,927.22,57.95,985.17,2021-11-30 2:32:13,2021-12-12 02:28:15 UTC
8657,9180,complete,1215.04,75.94,1290.98,2021-02-19 12:06:59,2021-02-26 14:20:13 UTC
8658,6485,complete,2550.56,159.41,2709.97,2021-08-23 15:39:57,2021-08-31 11:09:17 UTC
8659,10776,complete,695.12,43.45,738.57,2021-03-06 14:44:52,2021-03-19 20:41:46 UTC
8660,5855,complete,601.77,37.61,639.38,2022-01-23 1:52:06,2022-02-03 04:41:35 UTC
8661,12078,complete,504.79,31.55,536.34,2021-04-04 8:46:06,2021-04-12 17:06:56 UTC
8662,10093,complete,1050.04,65.63,1115.67,2021-01-16 4:30:29,2021-01-20 04:45:25 UTC
8663,11973,complete,530.19,33.14,563.33,2021-10-18 1:10:48,2021-10-23 18:12:36 UTC
8664,7707,complete,169.40,10.59,179.99,2021-04-08 18:51:49,2021-04-22 04:30:26 UTC
8665,11213,complete,84.21,5.26,89.47,2021-03-01 21:12:09,2021-03-11 08:32:42 UTC
8666,10416,complete,1494.90,93.43,1588.33,2021-08-14 2:32:43,2021-08-16 15:41:51 UTC
8667,34,complete,2287.01,142.94,2429.95,2021-01-31 21:22:05,2021-02-10 10:33:56 UTC
8668,12138,complete,228.14,14.26,242.40,2022-02-22 8:00:20,2022-02-27 10:10:38 UTC
8669,8104,complete,826.28,51.64,877.92,2021-07-01 13:22:53,2021-07-12 08:10:38 UTC
8670,4709,complete,153.72,9.61,163.33,2021-02-08 16:20:10,2021-02-11 19:29:33 UTC
8671,12471,complete,483.60,30.23,513.83,2022-03-05 9:55:53,2022-03-10 16:09:03 UTC
8672,1880,complete,39.80,2.49,42.29,2022-03-03 9:10:42,2022-03-07 17:31:28 UTC
8673,10157,complete,746.29,46.64,792.93,2022-01-22 22:30:48,2022-01-31 19:00:22 UTC
8674,7529,complete,3558.57,222.41,3780.98,2021-11-23 13:04:26,2021-12-07 04:05:26 UTC
8675,2562,complete,1514.24,94.64,1608.88,2021-11-02 7:02:04,2021-11-16 01:05:36 UTC
8676,41,complete,1064.05,66.50,1130.55,2021-12-28 16:33:09,2022-01-02 09:55:44 UTC
8677,3501,complete,1638.57,102.41,1740.98,2021-07-03 15:20:54,2021-07-15 09:27:10 UTC
8678,9876,complete,487.81,30.49,518.30,2021-06-15 3:13:18,2021-06-23 21:44:27 UTC
8679,4044,complete,1257.71,78.61,1336.32,2021-07-18 22:30:30,2021-07-21 10:26:29 UTC
8680,3275,complete,2382.09,148.88,2530.97,2021-04-25 16:50:19,2021-04-30 20:03:41 UTC
8681,710,complete,1471.18,91.95,1563.13,2021-03-30 5:36:58,2021-04-06 01:14:56 UTC
8682,10950,complete,1024.26,64.02,1088.28,2021-10-13 21:52:58,2021-10-18 20:29:02 UTC
8683,8376,complete,309.40,19.34,328.74,2021-01-29 8:56:47,2021-02-10 20:06:01 UTC
8684,7574,complete,632.90,39.56,672.46,2021-06-23 0:58:33,2021-07-07 10:18:36 UTC
8685,2605,complete,698.32,43.65,741.97,2022-02-26 0:35:28,2022-03-08 10:27:23 UTC
8686,3399,complete,1714.34,107.15,1821.49,2021-11-05 20:21:51,2021-11-09 14:46:38 UTC
8687,3957,complete,104.22,6.51,110.73,2021-07-16 16:17:02,2021-07-19 10:46:32 UTC
8688,4086,complete,2890.73,180.67,3071.40,2021-05-05 8:49:04,2021-05-09 23:54:00 UTC
8689,10609,complete,1319.57,82.47,1402.04,2021-05-11 19:37:34,2021-05-16 12:30:32 UTC
8690,3713,complete,446.75,27.92,474.67,2021-01-13 21:59:35,2021-01-19 07:29:40 UTC
8691,4103,complete,1495.45,93.47,1588.92,2022-03-06 12:35:46,2022-03-15 03:58:27 UTC
8692,12345,complete,2115.41,132.21,2247.62,2022-02-08 4:01:26,2022-02-17 11:08:54 UTC
8693,9662,complete,25.08,1.57,26.65,2021-11-26 7:23:26,2021-12-08 06:39:29 UTC
8694,7004,complete,920.35,57.52,977.87,2021-02-07 4:19:23,2021-02-16 19:55:43 UTC
8695,12273,complete,1457.11,91.07,1548.18,2021-12-11 10:07:26,2021-12-17 16:32:46 UTC
8696,7719,complete,1696.56,106.04,1802.60,2021-02-04 1:24:33,2021-02-18 13:02:30 UTC
8697,7579,complete,10.76,0.67,11.43,2021-11-21 6:36:30,2021-11-25 01:36:28 UTC
8698,7910,complete,1165.68,72.86,1238.54,2021-12-04 22:46:03,2021-12-08 00:26:41 UTC
8699,12368,complete,232.22,14.51,246.73,2021-07-28 14:35:37,2021-08-08 03:12:40 UTC
8700,5316,complete,267.45,16.72,284.17,2021-09-13 5:44:16,2021-09-22 23:45:13 UTC
8701,8066,complete,2959.66,184.98,3144.64,2021-11-29 9:37:30,2021-12-13 00:31:02 UTC
8702,7083,complete,2210.19,138.14,2348.33,2021-07-20 9:17:42,2021-08-03 07:48:27 UTC
8703,11611,complete,769.44,48.09,817.53,2021-07-07 0:26:15,2021-07-13 06:25:23 UTC
8704,12738,complete,402.22,25.14,427.36,2021-01-26 4:24:54,2021-02-09 02:15:37 UTC
8705,7260,complete,1204.96,75.31,1280.27,2021-07-08 13:35:38,2021-07-22 16:01:23 UTC
8706,2260,cancelled,518.11,32.38,550.49,2022-02-21 3:48:55,2022-03-04 20:07:57 UTC
8707,10145,complete,1054.50,65.91,1120.41,2021-04-17 5:48:23,2021-04-24 11:52:48 UTC
8708,2709,complete,1587.56,99.22,1686.78,2022-01-27 11:08:27,2022-01-31 21:11:39 UTC
8709,12833,complete,1405.29,87.83,1493.12,2021-11-29 22:22:14,2021-12-12 12:18:46 UTC
8710,3435,pending,24.00,1.50,25.50,2021-08-10 20:27:27,2021-08-21 20:23:36 UTC
8711,8362,complete,1115.70,69.73,1185.43,2021-05-23 4:57:53,2021-06-01 16:59:34 UTC
8712,7677,cancelled,2043.43,127.71,2171.14,2021-10-12 11:56:44,2021-10-14 21:13:12 UTC
8713,8022,complete,425.04,26.57,451.61,2021-06-02 22:06:35,2021-06-08 03:30:06 UTC
8714,7458,complete,1152.35,72.02,1224.37,2021-04-30 23:59:39,2021-05-06 01:24:16 UTC
8715,180,complete,1225.64,76.60,1302.24,2021-11-08 8:00:40,2021-11-11 20:09:02 UTC
8716,10461,complete,120.61,7.54,128.15,2021-07-28 23:29:11,2021-08-09 16:11:08 UTC
8717,159,complete,533.18,33.32,566.50,2021-12-17 23:44:27,2021-12-23 19:32:35 UTC
8718,11604,complete,2831.11,176.94,3008.05,2021-04-30 22:14:43,2021-05-03 05:08:07 UTC
8719,1503,complete,501.47,31.34,532.81,2021-04-28 21:24:48,2021-05-13 12:59:13 UTC
8720,2329,complete,641.65,40.10,681.75,2021-07-20 10:45:33,2021-07-24 01:45:46 UTC
8721,3600,complete,1318.08,82.38,1400.46,2021-06-15 20:44:20,2021-06-26 06:49:57 UTC
8722,12159,complete,673.96,42.12,716.08,2021-11-12 8:31:48,2021-11-20 06:47:32 UTC
8723,9835,complete,1899.45,118.72,2018.17,2022-02-22 9:14:43,2022-03-08 20:50:13 UTC
8724,11031,complete,2681.42,167.59,2849.01,2021-12-28 4:00:33,2021-12-31 11:50:09 UTC
8725,6554,complete,445.16,27.82,472.98,2022-01-17 17:22:41,2022-01-23 02:43:23 UTC
8726,11653,complete,1519.33,94.96,1614.29,2021-10-10 21:39:08,2021-10-17 14:42:12 UTC
8727,1268,complete,477.18,29.82,507.00,2022-02-07 1:10:13,2022-02-15 10:10:56 UTC
8728,293,complete,981.92,61.37,1043.29,2021-10-28 17:50:46,2021-11-01 06:44:12 UTC
8729,5658,complete,3104.56,194.04,3298.60,2021-10-18 23:30:11,2021-10-25 07:27:17 UTC
8730,897,complete,1326.44,82.90,1409.34,2021-07-08 22:25:23,2021-07-16 13:40:45 UTC
8731,6508,complete,420.02,26.25,446.27,2022-03-15 10:48:36,2022-03-21 19:40:33 UTC
8732,9782,complete,1114.18,69.64,1183.82,2022-02-22 12:48:51,2022-02-27 23:31:43 UTC
8733,3538,complete,306.18,19.14,325.32,2021-01-29 16:42:27,2021-02-03 14:00:12 UTC
8734,5448,complete,790.74,49.42,840.16,2021-11-28 7:33:57,2021-12-09 07:09:55 UTC
8736,9357,complete,785.45,49.09,834.54,2021-08-29 5:17:22,2021-09-12 10:06:38 UTC
8737,11744,complete,716.72,44.80,761.52,2021-04-03 2:27:46,2021-04-12 10:54:48 UTC
8738,8373,complete,2115.25,132.20,2247.45,2022-03-07 1:51:04,2022-03-21 00:23:26 UTC
8739,7560,complete,713.58,44.60,758.18,2021-06-02 0:55:40,2021-06-04 15:44:26 UTC
8740,4910,complete,1239.44,77.47,1316.91,2021-09-18 6:59:22,2021-09-30 21:41:10 UTC
8741,10894,complete,1047.41,65.46,1112.87,2022-02-03 13:03:33,2022-02-10 12:34:59 UTC
8742,10191,complete,712.04,44.50,756.54,2021-03-12 4:48:16,2021-03-18 21:33:08 UTC
8743,9382,pending,395.33,24.71,420.04,2021-11-08 16:00:06,2021-11-12 03:10:49 UTC
8745,8203,cancelled,1205.84,75.37,1281.21,2021-04-05 1:38:57,2021-04-12 07:33:44 UTC
8746,1294,complete,1193.57,74.60,1268.17,2021-07-15 2:11:30,2021-07-27 07:04:26 UTC
8747,3264,complete,63.20,3.95,67.15,2021-07-19 22:24:06,2021-07-29 11:04:17 UTC
8748,5950,complete,747.04,46.69,793.73,2021-04-10 15:03:47,2021-04-12 21:02:10 UTC
8749,10916,complete,1892.44,118.28,2010.72,2021-11-09 12:49:17,2021-11-14 06:54:38 UTC
8750,12928,complete,1971.79,123.24,2095.03,2021-01-24 0:40:32,2021-02-03 23:28:36 UTC
8752,5491,complete,549.46,34.34,583.80,2021-06-16 2:39:20,2021-06-20 13:47:47 UTC
8753,1791,complete,2032.47,127.03,2159.50,2022-03-04 22:40:16,2022-03-10 06:46:46 UTC
8754,7736,complete,1707.09,106.69,1813.78,2021-08-20 15:24:10,2021-08-29 20:15:34 UTC
8755,2897,complete,217.69,13.61,231.30,2021-12-17 17:46:15,2021-12-25 15:42:28 UTC
8756,6808,complete,345.28,21.58,366.86,2021-12-05 4:07:54,2021-12-09 04:02:14 UTC
8757,544,complete,222.35,13.90,236.25,2021-08-18 13:45:36,2021-08-29 04:12:40 UTC
8758,5325,complete,2140.77,133.80,2274.57,2022-01-05 21:56:58,2022-01-16 03:50:55 UTC
8759,9890,complete,765.50,47.84,813.34,2021-05-30 20:14:11,2021-06-04 18:01:16 UTC
8760,4926,pending,547.90,34.24,582.14,2021-01-05 19:18:10,2021-01-17 19:01:24 UTC
8762,2678,complete,3705.62,231.60,3937.22,2022-01-02 18:46:38,2022-01-07 09:14:30 UTC
8763,248,complete,1661.38,103.84,1765.22,2021-09-01 13:30:31,2021-09-12 21:42:43 UTC
8764,5209,complete,988.89,61.81,1050.70,2021-02-22 0:12:56,2021-03-02 02:20:24 UTC
8765,5607,complete,1024.66,64.04,1088.70,2021-12-30 20:26:44,2022-01-10 18:38:30 UTC
8766,6298,complete,467.34,29.21,496.55,2021-03-10 6:39:53,2021-03-22 20:34:11 UTC
8768,6744,complete,530.22,33.14,563.36,2021-08-08 17:01:31,2021-08-20 01:28:37 UTC
8769,2424,complete,39.49,2.47,41.96,2022-02-26 21:44:40,2022-03-08 20:25:03 UTC
8771,1504,complete,87.82,5.49,93.31,2021-10-25 0:08:41,2021-10-31 16:25:34 UTC
8772,4405,complete,1058.55,66.16,1124.71,2021-07-30 4:26:20,2021-08-04 17:02:58 UTC
8773,11847,pending,2183.04,136.44,2319.48,2022-03-14 16:32:13,2022-03-19 02:44:58 UTC
8774,8648,complete,1309.09,81.82,1390.91,2021-06-11 3:04:11,2021-06-19 20:46:21 UTC
8775,9830,complete,819.39,51.21,870.60,2021-04-22 5:13:36,2021-04-28 06:11:56 UTC
8776,8913,complete,1323.23,82.70,1405.93,2021-11-19 23:57:41,2021-11-24 00:32:45 UTC
8777,5092,complete,2137.14,133.57,2270.71,2021-01-22 7:25:01,2021-01-27 07:49:09 UTC
8778,11621,complete,465.00,29.06,494.06,2022-02-11 22:14:07,2022-02-24 17:49:02 UTC
8779,4274,complete,1325.12,82.82,1407.94,2021-12-12 19:52:13,2021-12-25 08:31:05 UTC
8780,11869,complete,1505.60,94.10,1599.70,2021-02-11 1:51:20,2021-02-17 08:37:09 UTC
8781,874,complete,126.20,7.89,134.09,2021-11-14 10:54:43,2021-11-16 22:18:51 UTC
8782,4432,complete,522.08,32.63,554.71,2021-10-07 4:06:41,2021-10-20 13:38:54 UTC
8783,10447,complete,1005.86,62.87,1068.73,2021-03-27 5:04:33,2021-04-06 13:31:15 UTC
8784,7815,complete,2863.96,179.00,3042.96,2021-09-02 15:41:28,2021-09-15 13:12:37 UTC
8785,10057,complete,1271.46,79.47,1350.93,2021-03-10 7:15:30,2021-03-12 20:33:32 UTC
8786,5802,complete,2622.49,163.91,2786.40,2022-03-13 10:12:42,2022-03-16 10:20:13 UTC
8787,2063,complete,21.88,1.37,23.25,2021-09-13 11:10:18,2021-09-27 12:47:08 UTC
8789,2009,complete,986.10,61.63,1047.73,2021-06-06 8:09:51,2021-06-15 10:34:47 UTC
8790,3235,complete,734.59,45.91,780.50,2021-03-04 20:36:28,2021-03-11 15:45:20 UTC
8791,8559,complete,1400.04,87.50,1487.54,2021-01-23 13:35:22,2021-02-01 03:00:18 UTC
8792,6975,complete,272.03,17.00,289.03,2021-07-28 8:41:46,2021-08-05 22:25:54 UTC
8793,11819,complete,614.10,38.38,652.48,2021-12-28 8:06:11,2022-01-10 01:16:30 UTC
8794,8995,complete,2569.75,160.61,2730.36,2021-11-29 18:51:45,2021-12-13 10:20:25 UTC
8795,5426,complete,1139.84,71.24,1211.08,2021-11-16 4:25:44,2021-11-25 15:56:07 UTC
8796,7969,complete,2208.81,138.05,2346.86,2021-01-13 18:44:28,2021-01-19 03:58:09 UTC
8797,6853,complete,2545.21,159.08,2704.29,2021-08-17 17:24:58,2021-08-22 23:08:21 UTC
8798,4977,complete,1880.40,117.53,1997.93,2021-04-17 22:28:12,2021-04-30 22:13:10 UTC
8800,11452,complete,1050.04,65.63,1115.67,2021-02-17 7:56:34,2021-02-21 04:42:29 UTC
8801,4496,complete,1748.12,109.26,1857.38,2021-02-22 0:17:03,2021-02-26 23:43:19 UTC
8802,1087,pending,3131.34,195.71,3327.05,2021-02-13 15:04:57,2021-02-27 06:00:04 UTC
8803,3851,complete,46.23,2.89,49.12,2021-09-18 1:00:28,2021-09-24 14:18:41 UTC
8804,10855,complete,995.01,62.19,1057.20,2021-06-28 11:01:10,2021-07-05 16:59:58 UTC
8805,6089,complete,168.42,10.53,178.95,2021-08-25 8:23:53,2021-08-30 02:34:47 UTC
8806,12148,complete,1738.22,108.64,1846.86,2021-05-10 22:16:05,2021-05-17 21:39:18 UTC
8807,12885,cancelled,1337.61,83.60,1421.21,2021-11-17 18:52:44,2021-11-24 11:50:37 UTC
8808,11845,complete,2726.48,170.41,2896.89,2022-02-07 15:05:34,2022-02-17 09:00:12 UTC
8809,11679,complete,762.28,47.64,809.92,2021-09-15 18:15:49,2021-09-23 03:49:14 UTC
8810,6186,complete,947.52,59.22,1006.74,2021-02-06 12:01:59,2021-02-09 20:34:27 UTC
8811,1201,complete,1825.60,114.10,1939.70,2021-07-16 10:07:35,2021-07-27 08:54:41 UTC
8812,3223,complete,2654.15,165.88,2820.03,2021-09-02 18:41:53,2021-09-14 10:56:30 UTC
8813,9990,complete,632.41,39.53,671.94,2021-01-20 21:02:49,2021-01-27 19:41:07 UTC
8815,856,complete,637.30,39.83,677.13,2021-07-08 22:27:36,2021-07-12 17:15:55 UTC
8816,12565,complete,1737.17,108.57,1845.74,2021-07-26 12:29:06,2021-08-06 15:51:59 UTC
8817,1653,complete,486.08,30.38,516.46,2021-01-27 12:24:39,2021-01-30 06:59:53 UTC
8818,13351,complete,207.92,13.00,220.92,2021-03-20 21:13:53,2021-03-25 19:20:24 UTC
8819,6073,complete,527.60,32.98,560.58,2021-07-10 21:50:54,2021-07-25 13:41:28 UTC
8820,8008,complete,1401.88,87.62,1489.50,2022-03-12 21:00:06,2022-03-17 08:57:29 UTC
8821,5099,complete,267.40,16.71,284.11,2022-02-12 14:55:40,2022-02-22 18:51:59 UTC
8822,10865,complete,2026.76,126.67,2153.43,2021-08-01 8:32:26,2021-08-06 13:46:37 UTC
8823,5738,complete,1488.17,93.01,1581.18,2021-01-28 15:51:53,2021-02-10 15:41:31 UTC
8824,12898,complete,552.54,34.53,587.07,2021-11-14 23:18:33,2021-11-19 20:38:58 UTC
8825,6185,complete,2926.53,182.91,3109.44,2021-04-11 10:07:41,2021-04-21 17:43:45 UTC
8826,10161,complete,409.64,25.60,435.24,2021-11-23 8:43:39,2021-11-27 23:24:31 UTC
8827,6610,complete,1050.78,65.67,1116.45,2021-07-02 19:45:09,2021-07-10 17:43:19 UTC
8828,789,complete,1249.16,78.07,1327.23,2021-06-13 14:06:41,2021-06-20 14:18:24 UTC
8829,5228,complete,850.85,53.18,904.03,2022-02-17 20:13:18,2022-02-21 00:44:07 UTC
8830,5801,complete,2265.11,141.57,2406.68,2021-07-15 17:56:56,2021-07-27 20:10:41 UTC
8831,7288,complete,1182.73,73.92,1256.65,2021-02-11 7:11:41,2021-02-17 18:24:57 UTC
8832,12233,complete,1091.18,68.20,1159.38,2022-03-02 12:05:30,2022-03-07 09:39:19 UTC
8833,12729,complete,961.51,60.09,1021.60,2021-05-04 13:45:37,2021-05-08 23:22:36 UTC
8834,11996,complete,1681.77,105.11,1786.88,2021-10-25 9:21:07,2021-11-01 21:52:33 UTC
8835,2921,complete,417.42,26.09,443.51,2021-11-08 6:02:33,2021-11-12 11:29:59 UTC
8836,4579,pending,1894.76,118.42,2013.18,2021-06-26 12:37:38,2021-07-09 04:36:49 UTC
8837,7984,complete,945.69,59.11,1004.80,2022-01-16 9:36:38,2022-01-19 11:46:45 UTC
8838,4899,complete,89.97,5.62,95.59,2021-04-16 8:21:15,2021-04-24 12:41:18 UTC
8839,5460,complete,1798.01,112.38,1910.39,2022-02-01 22:02:53,2022-02-10 01:48:42 UTC
8841,7884,complete,46.20,2.89,49.09,2021-04-10 15:21:37,2021-04-17 00:59:35 UTC
8842,3594,complete,214.37,13.40,227.77,2021-07-29 11:06:54,2021-08-10 16:41:26 UTC
8843,659,complete,2118.84,132.43,2251.27,2021-03-26 16:50:00,2021-04-01 14:44:22 UTC
8844,6575,complete,1426.82,89.18,1516.00,2021-12-07 3:22:34,2021-12-15 03:12:42 UTC
8845,7273,cancelled,577.60,36.10,613.70,2021-08-18 3:59:04,2021-08-27 07:44:46 UTC
8846,10753,complete,313.92,19.62,333.54,2021-02-28 7:03:08,2021-03-06 17:47:52 UTC
8847,2633,complete,646.77,40.42,687.19,2021-09-27 13:49:04,2021-10-05 23:04:51 UTC
