pk,purchase_fk,item_fk,quantity
22046,21854,57,11
22047,21633,847,12
22048,2792,914,2
22049,19168,189,6
22050,19820,968,2
22051,2647,553,11
22052,14050,788,8
22053,9741,309,2
22054,17632,650,7
22055,5628,344,17
22056,14079,774,14
22057,10736,912,6
22058,1993,699,8
22059,7282,222,9
22060,12708,117,13
22061,2378,521,9
22062,27975,585,14
22063,17954,283,13
22064,19536,532,2
22065,25015,823,9
22066,21072,386,2
22067,2363,815,17
22068,22673,402,6
22069,11414,686,5
22070,12485,29,15
22071,12255,84,10
22072,12121,429,5
22073,15861,1,15
22074,13366,750,8
22075,1683,629,16
22076,14039,343,3
22077,10947,216,3
22078,21837,572,5
22079,3456,849,5
22080,23442,874,15
22081,24776,297,14
22082,4737,294,13
22083,23644,163,9
22084,12506,3,6
22085,13746,327,15
22086,25364,41,4
22087,17066,138,13
22088,17156,651,15
22089,9069,204,4
22090,10808,743,13
22091,15145,102,17
22092,18398,68,7
22093,27838,90,1
22094,785,116,6
22095,6302,38,2
22096,27498,721,12
22097,1996,990,5
22098,3747,888,1
22099,4557,620,3
22100,25387,761,12
22101,23195,184,6
22102,18120,180,8
22103,17010,39,11
22104,27395,303,9
22105,6062,127,13
22106,18932,769,6
22107,20246,757,1
22108,25442,153,7
22109,6474,607,13
22110,19543,470,3
22111,18430,229,1
22112,17600,476,14
22113,949,638,12
22114,16313,2,3
22115,7351,444,14
22116,16821,436,4
22117,20294,566,6
22118,21199,533,1
22119,20604,789,12
22120,11635,237,2
22121,20069,332,9
22122,24191,46,2
22123,608,49,8
22124,11717,469,6
22125,7096,112,16
22126,21124,709,13
22127,6169,230,17
22128,2681,797,10
22129,568,903,12
22130,27540,660,3
22131,6163,584,2
22132,1251,507,4
22133,21193,901,14
22134,17971,948,5
22135,11111,724,4
22136,19619,128,1
22137,1871,506,11
22138,7400,567,13
22139,1735,937,2
22140,21805,250,10
22141,6923,36,1
22142,23060,1012,8
22143,6582,691,1
22144,20963,523,13
22145,17907,162,9
22146,19662,957,4
22147,22674,272,9
22148,8466,509,12
22149,16658,286,12
22150,27753,1004,14
22151,3839,142,8
22152,7143,1014,15
22153,9420,489,15
22154,5104,420,10
22155,3300,455,7
22156,13037,445,9
22157,15357,104,9
22158,8659,527,3
22159,15381,890,12
22160,5607,203,9
22161,21622,449,13
22162,5863,169,5
22163,11705,186,9
22164,9299,531,8
22165,27274,484,2
22166,14719,655,14
22167,12519,129,13
22168,19313,591,12
22169,10367,550,4
22170,7085,24,14
22171,11308,410,2
22172,12344,739,6
22173,20826,257,7
22174,6746,231,7
22175,5731,649,17
22176,7716,640,14
22177,2261,271,11
22178,16279,548,6
22179,12248,880,10
22180,131,784,8
22181,4361,770,1
22182,6198,816,15
22183,863,615,11
22184,9739,215,15
22185,27704,14,16
22186,18531,597,14
22187,20903,434,12
22188,21321,217,15
22189,16728,666,4
22190,18185,707,11
22191,5560,176,8
22192,24915,546,6
22193,16665,1001,14
22194,3575,940,9
22195,10819,560,15
22196,3274,263,15
22197,11600,876,4
22198,4028,977,1
22199,10621,581,3
22200,7464,663,2
22201,8919,554,10
22202,9746,562,16
22203,9197,384,16
22204,11725,347,15
22205,2622,66,7
22206,16060,333,9
22207,16072,331,9
22208,8818,727,13
22209,3597,926,13
22210,25859,103,10
22211,14878,574,1
22212,22927,191,15
22213,13449,459,8
22214,6211,352,6
22215,2979,680,6
22216,27539,421,17
22217,17828,951,9
22218,17347,370,10
22219,3837,390,3
22220,20710,300,2
22221,25896,900,9
22222,736,167,15
22223,24733,836,8
22224,11480,785,11
22225,4577,34,14
22226,16833,605,7
22227,18260,569,6
22228,19067,741,9
22229,9483,130,4
22230,995,213,3
22231,24655,932,12
22232,27240,245,17
22233,6171,951,1
22234,6595,563,10
22235,19237,14,17
22236,25651,540,14
22237,19792,481,5
22238,6243,602,4
22239,9173,905,10
22240,9524,638,5
22241,8698,889,5
22242,7665,844,1
22243,10697,528,8
22244,18634,432,5
22245,12014,378,1
22246,1592,314,10
22247,11357,295,13
22248,14510,656,12
22249,24594,765,12
22250,12943,242,3
22251,23426,273,16
22252,17974,664,2
22253,13560,657,14
22254,8719,750,4
22255,11342,851,9
22256,24669,461,14
22257,1604,203,11
22258,28007,586,11
22259,23173,16,3
22260,23731,679,3
22261,20650,139,10
22262,27940,587,11
22263,3068,164,14
22264,27008,258,14
22265,6460,456,13
22266,19571,825,10
22267,7558,899,6
22268,27111,512,9
22269,7956,231,1
22270,12793,345,17
22271,21740,806,8
22272,8867,82,16
22273,17088,74,4
22274,23721,328,7
22275,10528,158,12
22276,21255,883,16
22277,25333,723,4
22278,1519,748,10
22279,10036,866,4
22280,8185,19,14
22281,17451,1003,1
22282,16948,36,7
22283,19277,633,6
22284,16724,893,2
22285,10844,236,3
22286,4200,526,13
22287,1071,341,5
22288,8166,882,7
22289,2284,476,11
22290,21398,1000,12
22291,9254,302,16
22292,19227,488,14
22293,17122,134,3
22294,19440,441,2
22295,20964,163,6
22296,10530,188,4
22297,5388,707,17
22298,24796,954,2
22299,10606,936,14
22300,26636,189,14
22301,18759,880,5
22302,26131,316,14
22303,11445,609,13
22304,20469,425,17
22305,25435,1005,13
22306,21637,123,8
22307,20208,827,2
22308,11289,272,10
22309,2533,191,17
22310,445,1009,5
22311,16529,80,16
22312,11316,546,15
22313,16451,692,14
22314,15528,7,1
22315,18509,915,14
22316,2821,424,14
22317,6377,234,7
22318,5043,538,13
22319,17744,992,16
22320,17453,585,7
22321,14455,958,1
22322,21445,306,2
22323,20665,465,14
22324,13698,870,7
22325,4503,598,5
22326,1630,982,4
22327,7943,887,10
22328,13598,577,6
22329,1465,738,9
22330,1488,997,14
22331,7075,869,10
22332,23417,942,7
22333,3777,426,3
22334,26040,473,13
22335,23091,1013,4
22336,3107,64,16
22337,9497,963,14
22338,23394,544,10
22339,7198,607,3
22340,20074,95,1
22341,8932,49,16
22342,26257,688,9
22343,1774,292,3
22344,1135,105,11
22345,14934,944,4
22346,26221,864,1
22347,2824,261,9
22348,13437,85,12
22349,4665,388,11
22350,17038,504,11
22351,5664,359,6
22352,7230,610,13
22353,14367,1020,7
22354,18745,618,3
22355,26081,760,6
22356,16086,120,8
22357,9418,730,11
22358,11482,494,15
22359,6445,444,17
22360,5930,768,9
22361,12505,823,2
22362,16735,12,2
22363,16937,1016,16
22364,16382,949,2
22365,17449,205,3
22366,11184,661,7
22367,3270,380,6
22368,21429,828,3
22369,8134,419,10
22370,15051,725,14
22371,16010,548,8
22372,13681,109,15
22373,6097,1022,1
22374,3776,260,9
22375,17671,927,15
22376,14746,454,1
22377,23598,274,14
22378,19466,536,8
22379,15368,646,4
22380,20711,193,5
22381,15901,640,5
22382,1502,283,2
22383,24607,984,14
22384,18175,740,5
22385,7762,770,15
22386,13801,28,2
22387,18645,961,1
22388,21492,70,14
22389,6986,464,4
22390,520,126,7
22391,8068,831,17
22392,10958,912,2
22393,8331,788,13
22394,19042,830,7
22395,19970,914,4
22396,19224,484,10
22397,8198,449,2
22398,27648,1027,3
22399,4090,816,16
22400,5204,409,3
22401,16523,802,15
22402,16920,635,11
22403,22394,999,17
22404,18264,576,7
22405,6277,167,11
22406,327,574,9
22407,9821,994,2
22408,16032,940,12
22409,1645,909,17
22410,8883,379,13
22411,13185,895,11
22412,25079,334,3
22413,25983,210,11
22414,4751,581,4
22415,23093,132,12
22416,21297,324,1
22417,347,672,5
22418,27011,1019,15
22419,5678,826,11
22420,4627,630,6
22421,16125,854,14
22422,15708,773,10
22423,11575,71,17
22424,6639,1028,16
22425,1954,439,16
22426,7830,355,16
22427,18817,117,7
22428,4085,612,5
22429,27267,696,12
22430,8189,86,4
22431,7749,751,6
22432,24903,580,7
22433,10020,928,1
22434,18036,144,16
22435,22341,720,13
22436,23450,138,13
22437,24807,568,5
22438,6724,169,12
22439,15966,13,17
22440,3940,303,3
22441,3387,159,1
22442,18586,757,15
22443,3385,447,13
22444,4,460,11
22445,26878,701,10
22446,7704,40,5
22447,16495,333,14
22448,24245,970,8
22449,18144,224,17
22450,16616,358,7
22451,18428,747,4
22452,17357,186,15
22453,21708,925,1
22454,2365,483,17
22455,6365,920,4
22456,13524,172,11
22457,25906,873,13
22458,21571,797,6
22459,15675,340,6
22460,20546,244,6
22461,13534,368,4
22462,21510,201,15
22463,15459,285,16
22464,21114,229,5
22465,3389,485,7
22466,12928,33,6
22467,25152,457,15
22468,17804,145,11
22469,1894,892,4
22470,18062,519,16
22471,25814,718,13
22472,13054,375,9
22473,22082,503,17
22474,22547,206,7
22475,15502,136,8
22476,22464,440,6
22477,1000,817,3
22478,24899,711,1
22479,4385,542,13
22480,27154,712,14
22481,3173,931,6
22482,12348,121,12
22483,18325,477,13
22484,10502,847,9
22485,14851,670,4
22486,22414,562,6
22487,22434,72,14
22488,1403,533,15
22489,931,643,2
22490,22363,38,6
22491,26296,786,12
22492,2832,27,7
22493,20079,955,9
22494,18885,781,10
22495,14850,58,7
22496,22937,891,17
22497,12827,673,13
22498,11318,68,9
22499,3964,241,4
22500,21554,246,13
22501,483,178,5
22502,17317,254,12
22503,15152,88,8
22504,7086,300,14
22505,25984,478,12
22506,281,663,11
22507,17756,514,6
22508,16877,878,3
22509,11246,858,5
22510,5185,490,12
22511,26252,502,7
22512,20145,44,3
22513,22689,442,8
22514,18705,1015,16
22515,20870,839,7
22516,13071,479,13
22517,18805,45,1
22518,27071,1002,16
22519,19407,644,9
22520,17975,606,2
22521,16493,3,13
22522,27594,838,5
22523,25912,336,2
22524,23181,322,9
22525,21065,482,7
22526,12363,63,11
22527,26732,230,11
22528,5069,946,5
22529,5680,96,10
22530,724,710,5
22531,3788,547,6
22532,25512,391,14
22533,23492,243,14
22534,10561,374,7
22535,15464,65,8
22536,28057,151,4
22537,21028,348,3
22538,1212,559,14
22539,21991,24,9
22540,27871,179,5
22541,12439,275,3
22542,17624,690,10
22543,5161,376,16
22544,22765,405,8
22545,24286,290,10
22546,13715,608,15
22547,16754,965,10
22548,22665,517,6
22549,5717,298,4
22550,20117,168,4
22551,5454,911,2
22552,24689,960,8
22553,2624,174,2
22554,12227,513,13
22555,24244,331,7
22556,1228,681,5
22557,9312,330,2
22558,1355,166,10
22559,3882,362,16
22560,9355,522,2
22561,5219,853,3
22562,28018,321,4
22563,1398,452,13
22564,16026,591,6
22565,11094,437,2
22566,16816,455,11
22567,4571,728,1
22568,5148,755,7
22569,25770,1014,14
22570,24560,215,10
22571,2330,570,9
22572,1593,131,12
22573,20120,137,4
22574,17201,651,15
22575,23060,752,7
22576,21541,572,9
22577,17757,438,15
22578,641,849,3
22579,25415,48,2
22580,21094,22,10
22581,24567,462,6
22582,3180,147,15
22583,13132,248,17
22584,4868,148,14
22585,5177,469,2
22586,27488,427,11
22587,21660,421,12
22588,5599,777,4
22589,5393,560,6
22590,15841,695,5
22591,9407,682,16
22592,14687,196,7
22593,27556,141,16
22594,15443,742,16
22595,26953,821,6
22596,20416,843,14
22597,13789,973,2
22598,10020,360,5
22599,3971,885,15
22600,1708,54,9
22601,20745,877,8
22602,24596,529,2
22603,685,917,8
22604,14820,276,3
22605,24360,4,1
22606,25875,352,4
22607,23990,721,1
22608,12263,952,11
22609,13268,197,14
22610,10909,819,2
22611,24682,369,6
22612,15786,762,7
22613,13017,706,14
22614,1565,315,11
22615,20136,287,12
22616,6206,372,13
22617,5064,835,13
22618,23741,92,14
22619,827,886,7
22620,12496,428,6
22621,12116,212,8
22622,4839,634,7
22623,21011,308,17
22624,11650,357,2
22625,12037,114,12
22626,20398,942,14
22627,9792,313,4
22628,6323,545,8
22629,4316,305,2
22630,16199,575,4
22631,1254,463,6
22632,8291,358,14
22633,14030,610,9
22634,2850,136,5
22635,27535,770,1
22636,24109,173,11
22637,24134,977,12
22638,11339,303,13
22639,24793,623,10
22640,28113,635,3
22641,19228,548,1
22642,18,489,14
22643,5639,962,14
22644,17642,12,17
22645,8272,161,8
22646,2821,872,16
22647,24741,815,11
22648,9713,576,8
22649,13547,860,16
22650,11093,30,13
22651,15939,582,2
22652,20653,273,14
22653,21775,616,17
22654,13440,521,3
22655,22944,367,14
22656,22359,480,12
22657,2025,435,17
22658,16390,23,11
22659,16654,641,6
22660,8979,62,3
22661,14392,167,1
22662,8252,310,7
22663,20807,571,15
22664,10067,438,12
22665,27225,383,14
22666,8158,317,3
22667,1065,668,8
22668,18635,226,17
22669,8893,629,5
22670,17716,364,6
22671,10461,906,15
22672,16239,557,8
22673,3188,90,14
22674,24177,119,4
22675,22100,711,10
22676,26333,285,8
22677,7279,600,4
22678,1427,122,14
22679,6650,752,11
22680,4792,849,6
22681,23736,135,5
22682,25465,216,1
22683,8476,596,3
22684,18793,705,9
22685,15570,772,8
22686,7791,803,7
22687,18684,14,14
22688,8337,224,5
22689,23929,279,17
22690,4672,267,10
22691,4000,578,3
22692,15159,793,17
22693,18495,1003,6
22694,8359,779,7
22695,19521,838,12
22696,7230,698,11
22697,15683,544,14
22698,24674,821,14
22699,19205,969,17
22700,19002,205,12
22701,1335,515,11
22702,24358,102,4
22703,19634,245,13
22704,11570,244,5
22705,10522,1025,1
22706,7504,218,9
22707,5394,63,2
22708,6448,680,4
22709,24281,507,8
22710,1613,847,14
22711,11414,67,17
22712,18440,240,4
22713,13168,232,10
22714,3525,503,16
22715,5786,108,6
22716,15746,721,10
22717,20732,648,11
22718,4642,984,15
22719,27049,875,10
22720,20826,852,16
22721,656,359,12
22722,5921,531,14
22723,24131,551,12
22724,55,978,4
22725,23504,857,11
22726,3827,347,16
22727,22517,293,14
22728,15669,315,7
22729,21583,340,4
22730,913,306,14
22731,7675,972,6
22732,23203,154,6
22733,12019,604,9
22734,10362,594,16
22735,10095,797,16
22736,22301,110,16
22737,23799,1018,11
22738,9454,271,17
22739,14170,475,16
22740,26800,179,8
22741,21588,649,12
22742,16077,37,7
22743,23598,68,16
22744,10307,903,13
22745,26821,188,11
22746,4200,280,3
22747,12198,371,14
22748,25639,999,14
22749,22044,415,10
22750,12884,509,4
22751,3208,258,7
22752,4069,806,17
22753,7543,410,17
22754,8295,714,4
22755,9934,898,6
22756,3002,905,13
22757,13447,713,14
22758,27633,20,13
22759,8165,255,17
22760,18412,684,13
22761,20094,782,7
22762,22047,934,5
22763,24018,1019,17
22764,13079,669,9
22765,5772,345,4
22766,12081,434,3
22767,12132,197,11
22768,27310,337,11
22769,26041,54,12
22770,25106,564,8
22771,3628,855,7
22772,21877,261,1
22773,7367,697,4
22774,10774,517,6
22775,26338,132,7
22776,22480,585,15
22777,20823,738,11
22778,20512,810,1
22779,21221,930,3
22780,14565,590,10
22781,23347,935,9
22782,11665,278,17
22783,20126,479,7
22784,16019,592,6
22785,8409,611,17
22786,512,429,13
22787,2836,914,1
22788,9692,256,11
22789,775,1011,3
22790,18301,973,14
22791,27360,282,3
22792,28192,223,8
22793,14655,331,7
22794,20866,81,6
22795,4490,492,16
22796,8882,894,13
22797,7289,149,1
22798,361,251,13
22799,22302,1,6
22800,7637,609,7
22801,22762,625,3
22802,10397,843,15
22803,11131,925,7
22804,12799,614,3
22805,12742,73,5
22806,13915,710,9
22807,761,622,8
22808,10666,4,10
22809,1463,868,13
22810,20686,907,8
22811,7033,991,13
22812,1837,146,12
22813,25917,409,13
22814,21469,577,2
22815,26580,931,2
22816,21010,587,9
22817,15894,342,17
22818,3417,569,3
22819,1110,866,16
22820,13831,42,10
22821,612,651,11
22822,18202,204,12
22823,26817,644,11
22824,26498,382,6
22825,6203,387,4
22826,20768,152,15
22827,13749,89,12
22828,24804,825,9
22829,13120,601,10
22830,6589,784,1
22831,19836,712,2
22832,7853,541,4
22833,11604,655,3
22834,24444,201,2
22835,20112,646,12
22836,6818,49,14
22837,4998,221,17
22838,17424,453,11
22839,4087,377,16
22840,27481,647,7
22841,15401,533,16
22842,26104,211,13
22843,20837,351,17
22844,2364,446,17
22845,3080,549,7
22846,19811,765,7
22847,19369,350,1
22848,25599,416,14
22849,22927,508,12
22850,3475,118,11
22851,21112,213,12
22852,604,265,3
22853,6894,809,3
22854,18385,607,5
22855,3300,131,9
22856,18938,87,1
22857,24376,573,1
22858,5222,639,6
22859,17773,987,7
22860,1358,526,12
22861,17034,142,3
22862,7953,433,1
22863,18436,462,11
22864,4133,584,10
22865,12478,246,7
22866,393,928,12
22867,8487,772,11
22868,13129,1029,13
22869,575,127,14
22870,23131,189,10
22871,13808,799,5
22872,9530,4,10
22873,10306,922,14
22874,13973,199,15
22875,1323,880,16
22876,20104,166,15
22877,20114,310,1
22878,24930,623,11
22879,22806,298,10
22880,10142,262,8
22881,23452,422,12
22882,15,226,2
22883,3010,246,17
22884,14141,182,7
22885,14200,892,13
22886,27661,1008,13
22887,18933,285,2
22888,21354,505,17
22889,12121,581,14
22890,1791,931,8
22891,1376,849,12
22892,13316,210,5
22893,13476,220,11
22894,1466,844,15
22895,27861,1025,4
22896,11103,213,12
22897,14946,738,11
22898,9139,1005,11
22899,19846,613,17
22900,34,297,10
22901,27128,102,11
22902,23267,421,17
22903,8160,371,9
22904,13974,598,16
22905,22946,203,13
22906,15573,904,10
22907,12883,184,5
22908,18513,656,10
22909,17294,788,3
22910,12611,345,3
22911,5276,627,10
22912,8259,265,17
22913,12301,441,14
22914,18648,141,7
22915,14592,970,9
22916,7739,385,13
22917,24617,925,4
22918,21850,564,12
22919,25869,325,4
22920,23883,907,12
22921,20055,115,15
22922,12998,218,16
22923,9565,543,8
22924,20661,655,2
22925,5866,736,9
22926,23571,417,9
22927,15296,831,16
22928,18208,276,17
22929,10126,629,15
22930,5245,41,3
22931,390,762,12
22932,25164,957,12
22933,5903,68,6
22934,291,485,17
22935,614,219,4
22936,20429,229,1
22937,10629,552,15
22938,20987,641,11
22939,8117,147,12
22940,1970,109,11
22941,16458,993,6
22942,11661,827,15
22943,17064,657,11
22944,3959,440,5
22945,6806,155,6
22946,26869,245,14
22947,14540,464,8
22948,12086,1006,14
22949,21052,992,6
22950,20059,584,17
22951,2619,181,15
22952,17306,2,13
22953,16828,757,13
22954,22696,573,12
22955,13115,960,12
22956,28114,980,11
22957,7824,526,13
22958,643,530,13
22959,4869,116,9
22960,27771,396,10
22961,21424,701,14
22962,14169,716,8
22963,3980,774,16
22964,18467,501,3
22965,2724,117,15
22966,17287,500,16
22967,20688,905,6
22968,20957,897,13
22969,27265,512,1
22970,1851,717,14
22971,9107,601,1
22972,26871,518,7
22973,10712,379,14
22974,11413,99,4
22975,18215,365,8
22976,18701,272,15
22977,6328,766,6
22978,7981,516,11
22979,7530,513,16
22980,9747,602,12
22981,5445,1009,10
22982,23865,27,17
22983,5668,201,12
22984,12735,69,12
22985,17602,1021,17
22986,7681,340,12
22987,11708,822,5
22988,26415,847,8
22989,25303,292,12
22990,6126,84,2
22991,2168,204,15
22992,27431,947,14
22993,1443,577,11
22994,7209,729,3
22995,12329,520,8
22996,13119,965,12
22997,15410,841,16
22998,19349,889,9
22999,2701,731,2
23000,15949,937,17
23001,9990,680,9
23002,19365,358,5
23003,16098,301,10
23004,20491,523,3
23005,25228,21,1
23006,17896,785,5
23007,10892,833,7
23008,21890,113,10
23009,15578,7,3
23010,11529,574,8
23011,25603,85,10
23012,27949,168,5
23013,16234,105,2
23014,9318,480,13
23015,24589,235,10
23016,27422,638,8
23017,17838,556,4
23018,13059,609,8
23019,24100,572,7
23020,14955,506,13
23021,27669,650,16
23022,13687,78,13
23023,27159,561,2
23024,16499,352,15
23025,2475,387,17
23026,4859,458,8
23027,22562,918,17
23028,26712,49,11
23029,23255,36,11
23030,14028,63,5
23031,27736,253,8
23032,26232,974,5
23033,12308,32,14
23034,20932,608,9
23035,1854,376,1
23036,18381,654,14
23037,4393,195,4
23038,10028,691,3
23039,14615,343,5
23040,17235,128,3
23041,3313,588,8
23042,12100,462,11
23043,28127,1017,13
23044,17973,800,5
23045,24129,956,14
23046,21194,888,12
23047,5147,58,2
23048,23453,139,4
23049,20301,304,3
23050,6570,540,8
23051,9258,154,3
23052,3830,1016,5
23053,24721,280,16
23054,6784,23,7
23055,3558,951,7
23056,12065,784,11
23057,7944,743,14
23058,13906,300,3
23059,3138,338,9
23060,2259,571,5
23061,10687,192,6
23062,11921,634,15
23063,23923,134,8
23064,5629,893,14
23065,10086,495,8
23066,7573,354,9
23067,24322,752,4
23068,8986,196,16
23069,17892,765,9
23070,8571,122,3
23071,11178,111,3
23072,8017,886,2
23073,23565,56,9
23074,10829,212,2
23075,16496,286,12
23076,14060,164,17
23077,15295,560,2
23078,18295,8,12
23079,17808,80,6
23080,13090,902,1
23081,9047,628,13
23082,16916,930,2
23083,19951,383,12
23084,11446,954,17
23085,12023,426,8
23086,18566,483,4
23087,10541,444,2
23088,25086,932,13
23089,19453,378,8
23090,5424,266,11
23091,28148,6,13
23092,15841,19,8
23093,14740,944,9
23094,4956,835,4
23095,8501,234,12
23096,21551,699,8
23097,3254,928,8
23098,6,961,10
23099,21648,494,9
23100,19753,156,1
23101,20475,740,1
23102,8352,390,15
23103,4360,407,12
23104,19243,447,10
23105,3615,153,7
23106,5635,143,14
23107,23201,764,2
23108,17920,15,8
23109,26135,815,12
23110,16347,1,16
23111,18390,103,2
23112,1766,66,7
23113,16827,615,15
23114,13230,413,8
23115,6177,418,11
23116,17052,519,1
23117,9189,996,7
23118,24228,850,1
23119,20659,943,11
23120,22625,1027,1
23121,20366,70,13
23122,17432,47,12
23123,3690,140,7
23124,20421,878,8
23125,6935,546,16
23126,21187,533,11
23127,7450,470,1
23128,23293,562,10
23129,2786,282,4
23130,15629,1022,7
23131,562,545,2
23132,18172,96,2
23133,1495,370,9
23134,13173,278,16
23135,23709,720,15
23136,16420,909,14
23137,23084,739,13
23138,7382,532,9
23139,12749,698,15
23140,25210,597,7
23141,17445,592,16
23142,15653,91,3
23143,9698,188,5
23144,23651,645,3
23145,24074,132,7
23146,21109,223,11
23147,8305,966,15
23148,456,689,10
23149,5009,997,9
23150,4840,424,10
23151,26255,504,3
23152,22878,224,6
23153,15818,227,13
23154,6712,394,13
23155,8293,52,9
23156,4337,662,9
23157,25501,755,1
23158,23313,538,15
23159,15468,35,15
23160,1875,281,14
23161,17612,137,13
23162,10362,158,14
23163,25166,20,3
23164,12784,186,3
23165,11118,51,8
23166,17474,855,4
23167,1738,461,3
23168,12050,722,12
23169,15737,975,1
23170,8422,709,9
23171,8865,884,10
23172,6824,374,5
23173,9119,1003,11
23174,14617,94,11
23175,19804,240,8
23176,11715,744,5
23177,24674,672,5
23178,26053,389,7
23179,21677,586,5
23180,27405,373,7
23181,10048,903,11
23182,6547,119,13
23183,7244,854,10
23184,13902,953,2
23185,9942,542,15
23186,4118,643,2
23187,20535,763,16
23188,21405,53,5
23189,1833,659,6
23190,2354,891,15
23191,11491,318,6
23192,5303,773,7
23193,19768,797,1
23194,22105,792,13
23195,12822,230,10
23196,7942,1001,15
23197,24739,870,11
23198,21740,445,14
23199,24328,673,10
23200,5582,187,6
23201,14681,579,7
23202,1321,269,5
23203,14400,322,17
23204,15146,465,12
23205,17660,569,17
23206,5355,942,8
23207,3839,271,16
23208,7176,926,12
23209,27670,836,15
23210,17436,414,12
23211,2457,216,8
23212,21955,267,17
23213,1138,828,6
23214,21099,408,4
23215,5750,59,1
23216,21072,714,6
23217,23185,404,6
23218,14375,780,8
23219,15118,890,9
23220,24916,138,4
23221,25820,312,4
23222,26889,173,9
23223,9901,508,4
23224,14274,825,2
23225,11905,170,16
23226,13929,247,17
23227,8536,901,8
23228,23561,594,12
23229,22141,642,15
23230,11030,940,17
23231,7066,334,16
23232,25689,721,15
23233,11006,283,17
23234,2789,936,8
23235,10617,585,2
23236,16886,587,2
23237,5492,120,6
23238,18528,578,15
23239,16746,442,13
23240,21207,946,15
23241,1508,856,10
23242,2961,430,12
23243,4228,270,6
23244,27112,551,2
23245,15486,287,15
23246,27233,357,10
23247,10764,250,10
23248,9769,724,7
23249,11424,316,16
23250,12687,648,4
23251,27189,809,12
23252,17107,868,14
23253,25987,651,15
23254,22612,412,5
23255,19251,695,6
23256,12160,249,13
23257,5323,862,8
23258,16680,670,8
23259,23102,989,15
23260,1565,346,2
23261,18113,22,12
23262,9010,719,4
23263,12341,355,6
23264,14273,377,15
23265,27821,118,13
23266,10758,31,15
23267,561,214,10
23268,4994,582,5
23269,10621,687,4
23270,14662,212,14
23271,11091,870,1
23272,21489,379,4
23273,12904,781,5
23274,2826,989,1
23275,27951,674,17
23276,13805,566,17
23277,7954,902,4
23278,20407,127,9
23279,22551,747,12
23280,22134,712,1
23281,15590,690,17
23282,16638,684,5
23283,14083,959,14
23284,4933,162,9
23285,14667,551,16
23286,5932,3,10
23287,14589,748,17
23288,16459,563,6
23289,27896,8,6
23290,18974,18,11
23291,16753,650,15
23292,15692,347,4
23293,4515,307,5
23294,22461,500,8
23295,14998,438,10
23296,18195,825,17
23297,13904,373,14
23298,10466,487,5
23299,4863,94,5
23300,24829,145,9
23301,27796,359,2
23302,2378,174,7
23303,16447,245,9
23304,15706,237,10
23305,17751,798,3
23306,11799,782,5
23307,21075,132,6
23308,26362,694,17
23309,18918,849,5
23310,3460,106,9
23311,4991,191,3
23312,1198,738,5
23313,3406,143,7
23314,8369,195,9
23315,10302,493,9
23316,7772,117,2
23317,26225,507,8
23318,13686,950,7
23319,19879,943,14
23320,13321,129,16
23321,12575,214,14
23322,18815,630,7
23323,11953,533,9
23324,27764,182,13
23325,9293,387,7
23326,23404,756,4
23327,606,597,17
23328,11462,49,12
23329,87,204,16
23330,2009,226,2
23331,21660,726,10
23332,24094,773,7
23333,5952,984,13
23334,9954,619,14
23335,6119,602,13
23336,2935,940,2
23337,2538,262,10
23338,17286,921,14
23339,26475,34,12
23340,2316,978,17
23341,106,893,13
23342,27130,969,13
23343,7180,346,7
23344,26616,664,3
23345,23717,970,17
23346,17885,735,10
23347,14293,605,13
23348,26529,864,5
23349,26746,962,15
23350,14047,312,6
23351,4289,681,14
23352,20404,153,13
23353,13193,791,8
23354,1778,334,13
23355,6629,556,4
23356,4688,549,2
23357,8390,565,7
23358,2090,649,12
23359,27804,123,8
23360,6316,272,12
23361,9276,718,4
23362,6070,652,15
23363,272,586,1
23364,21982,848,16
23365,22746,24,2
23366,251,471,9
23367,17580,56,5
23368,20258,12,10
23369,5066,412,14
23370,5031,466,1
23371,8534,541,9
23372,1309,707,3
23373,11198,534,10
23374,23446,401,10
23375,5122,592,12
23376,10722,444,3
23377,18348,453,13
23378,19665,496,1
23379,26719,101,8
23380,5834,561,10
23381,18962,377,8
23382,17965,306,14
23383,17623,292,10
23384,14395,877,11
23385,12471,698,15
23386,3620,924,9
23387,22296,717,9
23388,6516,977,10
23389,1838,72,6
23390,2484,745,12
23391,7505,325,3
23392,19323,581,9
23393,6705,614,4
23394,2104,758,16
23395,363,709,3
23396,16621,888,17
23397,21549,10,16
23398,7633,161,2
23399,11439,362,5
23400,26424,354,3
23401,2928,98,13
23402,22558,142,15
23403,25082,418,16
23404,19255,350,12
23405,17237,569,10
23406,3410,413,10
23407,6878,993,11
23408,14398,899,9
23409,27521,952,10
23410,13210,33,5
23411,15862,749,9
23412,16340,330,5
23413,16040,883,3
23414,6939,476,3
23415,10379,329,12
23416,25734,522,12
23417,25830,635,4
23418,21293,43,11
23419,3041,638,17
23420,10169,497,13
23421,5569,702,8
23422,24108,232,9
23423,19295,780,6
23424,12349,942,4
23425,20618,154,5
23426,5255,578,13
23427,28104,841,7
23428,24679,67,10
23429,13977,157,11
23430,3864,247,16
23431,3296,645,2
23432,10328,550,1
23433,16385,333,3
23434,25464,109,1
23435,16238,370,1
23436,15370,400,3
23437,18981,411,5
23438,11369,600,8
23439,19930,511,13
23440,5290,506,16
23441,24747,1003,9
23442,3321,818,2
23443,2228,991,15
23444,18790,906,4
